"CTL_1" "CTL_2" "CTL_3" "HYPERT_1" "HYPERT_2" "HYPERT_3" "PLUS_HYPERT_1" "PLUS_HYPERT_2" "PLUS_HYPERT_3" "PROXIMAL_PLUS_HYPERT_1" "PROXIMAL_PLUS_HYPERT_2" "PROXIMAL_PLUS_HYPERT_3"
"FBgn0000017" 7142.18164087755 7117.24344140978 7433.5879475613 6683.7807706414 6558.14188381147 6460.35251315504 6779.16494940133 6706.99588726725 6664.37669583004 6556.07532238618 6395.01219926409 6930.00076665437
"FBgn0000018" 1581.13 1581.44 1572.49 1566.09 1571.2 1567.12 1572.69 1571.48 1569.85 1565.35 1564.55 1532.4
"FBgn0000024" 3897.01696639671 3880.22133744952 3881.22028657272 4454.16689028536 4177.02985059884 3994.3698896637 4263.82409359085 3853.48 3868.42807550915 3860.14804627138 3573.11584372587 4029.558709228
"FBgn0000032" 1722.50887531781 1722.58036649247 1714.02754256871 1708.38142358483 1713.98427655989 1710.14092380743 1716.1516485989 1714.6954760559 1711.55279313355 1708.60556341814 1708.83895437586 1676.37396977723
"FBgn0000043" 1413.13 1413.44 1404.49 1398.09 1403.2 1399.12 1404.69 1403.48 1401.85 1397.35 1396.55 1364.4
"FBgn0000044" 1511.13 1511.44 1502.49 1496.09 1501.2 1497.12 1502.69 1501.48 1499.85 1495.35 1494.55 1462.4
"FBgn0000046" 1354.13 1354.44 1345.49 1339.09 1344.2 1340.12 1353.4076254471 1344.48 1405.09983475104 1350.64365889834 1337.55 1355.33553110763
"FBgn0000052" 4086.22499198492 4099.16314985861 4093.96572649955 4074.67675367054 4085.71591431094 4084.03949995913 4084.18115830106 4088.99519798175 4078.45208754372 4089.53014835892 4088.78770152844 4055.59932550525
"FBgn0000053" 3015.10148504483 2756.83141350099 2559.56922995449 3259.2692387189 3114.19236211708 2534.41421456833 3300.3234862066 2712.34854270102 3105.75872511321 3156.15836858953 3204.6034835679 3296.04000734163
"FBgn0000055" 848.596547218058 848.971203666448 839.556729010386 832.187758891592 836.344261613094 833.058127738391 838.247702525066 838.00276427669 836.311255903818 831.797980872218 831.450866179408 801.053535226338
"FBgn0000057" 2034.78688085527 2028.44 2021.28829355863 2016.35270701383 2018.2 2015.69969527319 2020.63865394215 2022.84193156825 2018.04694607247 2013.42153683239 2011.55 1980.4699457277
